Year,geoid,type,name,centroid_lng,centroid_lat,bbox_arr
2020,01,state,Alabama,-86.8434593,32.7396323,"{-88.473227,30.144425,-84.888246,35.008028}"
2020,02,state,Alaska,-152.8397334,63.347356,"{-188.148909,51.214183,-128.77847,71.365162}"
2020,04,state,Arizona,-111.6063449,34.2039362,"{-114.8163,31.332341,-109.045172,37.003725}"
2020,05,state,Arkansas,-92.4446262,34.8955256,"{-94.617859,33.004282,-89.640997,36.499749}"
2020,06,state,California,-119.5434183,37.1551773,"{-124.482003,32.528832,-114.131211,42.009503}"
2020,08,state,Colorado,-105.5087122,38.9937669,"{-109.060204,36.992449,-102.041522,41.003444}"
2020,09,state,Connecticut,-72.7466572,41.5798637,"{-73.727775,40.950943,-71.787239,42.050511}"
2020,10,state,Delaware,-75.441644,38.9985661,"{-75.789023,38.451132,-74.984165,39.839516}"
2020,11,state,District of Columbia,-77.0165167,38.9042474,"{-77.119759,38.791645,-76.909393,38.995845}"
2020,12,state,Florida,-82.5143005,28.3989775,"{-87.634896,24.396308,-79.974306,31.000968}"
2020,13,state,Georgia,-83.4235109,32.6295789,"{-85.605165,30.355757,-80.78296,35.001303}"
2020,15,state,Hawaii,-155.4950421,19.8281671,"{-178.443593,18.86546,-154.755792,28.517269}"
2020,16,state,Idaho,-114.5588538,44.3484222,"{-117.243027,41.988182,-111.043495,49.000846}"
2020,17,state,Illinois,-89.1526108,40.1028754,"{-91.513079,36.970298,-87.019935,42.508481}"
2020,18,state,Indiana,-86.2919129,39.9013136,"{-88.097892,37.771672,-84.784535,41.761368}"
2020,19,state,Iowa,-93.4933473,42.0700243,"{-96.639485,40.37544,-90.140061,43.501196}"
2020,20,state,Kansas,-98.3834298,38.4985464,"{-102.051769,36.993016,-94.588387,40.003166}"
2020,21,state,Kentucky,-85.2929801,37.5336844,"{-89.571203,36.497058,-81.964788,39.147732}"
2020,22,state,Louisiana,-91.7987173,30.8634368,"{-94.043352,28.855127,-88.758388,33.01962}"
2020,23,state,Maine,-68.666616,45.4092843,"{-71.083928,42.917126,-66.885444,47.459833}"
2020,24,state,Maryland,-76.6744939,38.9466584,"{-79.487651,37.886605,-74.986282,39.723037}"
2020,25,state,Massachusetts,-71.4895915,42.1565196,"{-73.50821,41.187053,-69.858861,42.886778}"
2020,26,state,Michigan,-85.6604907,44.8441768,"{-90.418392,41.696118,-82.122971,48.306063}"
2020,27,state,Minnesota,-94.1996043,46.3159573,"{-97.239093,43.499361,-89.483385,49.384479}"
2020,28,state,Mississippi,-89.6561377,32.6864714,"{-91.655009,30.139845,-88.097888,34.996099}"
2020,29,state,Missouri,-92.4567826,38.35075,"{-95.774704,35.995685,-89.098968,40.61364}"
2020,30,state,Montana,-109.6348174,47.051177,"{-116.049153,44.357915,-104.039694,49.001109}"
2020,31,state,Nebraska,-99.8118646,41.5433053,"{-104.053514,39.999932,-95.30829,43.001707}"
2020,32,state,Nevada,-116.6151469,39.3310928,"{-120.006473,35.001857,-114.039461,42.001842}"
2020,33,state,New Hampshire,-71.5843145,43.6726907,"{-72.557124,42.697042,-70.575094,45.305778}"
2020,34,state,New Jersey,-74.6652012,40.1072744,"{-75.563586,38.788657,-73.88506,41.357607}"
2020,35,state,New Mexico,-106.1316181,34.4346843,"{-109.050431,31.33216,-103.002043,37.000233}"
2020,36,state,New York,-75.5962723,42.9133974,"{-79.76259,40.476578,-71.777491,45.015865}"
2020,37,state,North Carolina,-79.1308636,35.53971,"{-84.321821,33.752878,-75.400119,36.588137}"
2020,38,state,North Dakota,-100.4608258,47.442174,"{-104.049012,45.935072,-96.554411,49.000561}"
2020,39,state,Ohio,-82.7119975,40.4149297,"{-84.820305,38.403423,-80.518705,42.327132}"
2020,40,state,Oklahoma,-97.4867789,35.5900815,"{-103.002413,33.615787,-94.431014,37.002312}"
2020,41,state,Oregon,-120.6229578,43.9717125,"{-124.703541,41.992082,-116.463262,46.299099}"
2020,42,state,Pennsylvania,-77.8275298,40.9046013,"{-80.519851,39.719799,-74.689561,42.516072}"
2020,44,state,Rhode Island,-71.5264901,41.596485,"{-71.907258,41.095834,-71.088571,42.018799}"
2020,45,state,South Carolina,-80.8542639,33.8741776,"{-83.353928,31.995954,-78.499301,35.215485}"
2020,46,state,South Dakota,-100.2381762,44.4467957,"{-104.057879,42.479686,-96.436472,45.945377}"
2020,47,state,Tennessee,-86.3496339,35.85846,"{-90.310491,34.982924,-81.6469,36.678255}"
2020,48,state,Texas,-99.2818238,31.4347032,"{-106.645646,25.837164,-93.508039,36.500704}"
2020,49,state,Utah,-111.6563326,39.3349925,"{-114.052885,36.997657,-109.041572,42.001702}"
2020,50,state,Vermont,-72.6710173,44.0589536,"{-73.437905,42.726933,-71.465047,45.016658}"
2020,51,state,Virginia,-78.6681938,37.5222512,"{-83.675395,36.540852,-75.166435,39.466012}"
2020,53,state,Washington,-120.5757999,47.4073238,"{-124.848974,45.543541,-116.916071,49.002439}"
2020,54,state,West Virginia,-80.6183274,38.6472854,"{-82.644591,37.20154,-77.719519,40.638801}"
2020,55,state,Wisconsin,-89.7093916,44.6309071,"{-92.889433,42.49172,-86.249548,47.309822}"
2020,56,state,Wyoming,-107.5443922,42.9896591,"{-111.054558,40.994772,-104.052245,45.005815}"
2020,60,state,American Samoa,-170.6682674,-14.267159,"{-171.141907,-14.601813,-168.101612,-10.997203}"
2020,66,state,Guam,144.7719021,13.4417451,"{144.563426,13.182335,145.009167,13.706179}"
2020,69,state,Commonwealth of the Northern Mariana Islands,145.6181702,15.0010865,"{144.813338,14.036565,146.154418,20.616556}"
2020,72,state,Puerto Rico,-66.4107992,18.217648,"{-67.998751,17.831509,-65.168503,18.568002}"
2020,78,state,United States Virgin Islands,-64.9500433,18.3392359,"{-65.154118,17.623468,-64.512674,18.464984}"
2020,0100100,place,"Abanda, AL",-85.5270288,33.0916268,"{-85.542028,33.073844,-85.507248,33.108672}"
2020,0100124,place,"Abbeville, AL",-85.2591227,31.564724,"{-85.295796,31.53211,-85.211273,31.60001}"
2020,0100460,place,"Adamsville, AL",-86.9715269,33.6023153,"{-87.048818,33.521002,-86.895362,33.684118}"
2020,0100484,place,"Addison, AL",-87.1780043,34.2026811,"{-87.203611,34.179896,-87.147391,34.221796}"
2020,0100676,place,"Akron, AL",-87.7408993,32.8790657,"{-87.749665,32.872351,-87.733641,32.888734}"
