provider_name,dba_name,holding_company_name,holding_company_final,State,technology_code,Consumer,max_advertised_downstream_speed_mbps,max_advertised_upstream_speed_mbps,zip_code,connection_type,hso_provider,Price
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6604,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6605,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6606,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6607,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6608,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6610,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6460,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6851,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6854,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6870,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6901,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6902,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6905,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6906,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6614,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6615,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6790,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,6897,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7401,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7712,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7002,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7719,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7403,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7005,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,8805,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7405,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7006,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7928,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7721,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7011,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7012,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7013,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7801,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,8812,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7017,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,8817,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7201,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7202,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7205,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7206,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7208,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7728,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7026,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7601,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7508,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7506,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7421,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,8904,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7030,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7843,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7731,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,8527,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7734,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7034,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,8701,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7644,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7940,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7430,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,8835,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7747,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7960,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7753,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,8901,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7102,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7103,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7104,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7105,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7106,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7107,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7108,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7112,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7114,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7435,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7047,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,8902,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,7110,,cable_one,
"Cable One, Inc.",Cable ONE,"Cable One, Inc.","Cable One, Inc.",,,1,,,8751,,cable_one,
