provider_name,dba_name,holding_company_name,holding_company_final,State,technology_code,Consumer,max_advertised_downstream_speed_mbps,max_advertised_upstream_speed_mbps,zip_code,connection_type,hso_provider,Price
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10025,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10023,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,14850,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10016,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10024,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10128,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,12180,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10011,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,85364,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,11215,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10002,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,11355,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,11209,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,79936,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,11201,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10003,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,90250,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10314,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,28307,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10019,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,11373,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,28269,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,11368,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,11377,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10009,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,78130,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,78521,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,78666,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,75070,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,11220,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10021,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10029,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10027,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,90044,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,44035,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,28277,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,90026,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,11211,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,10028,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,90034,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,43055,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,12866,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,27406,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,78613,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,75243,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,40475,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,63376,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,13021,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,28027,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,76544,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,75052,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,28216,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,37042,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,79912,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,90650,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,78501,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,14580,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,90019,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,90805,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,27410,,spectrum,
"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,Charter Communications,,,1,,,27610,,spectrum,
