provider_name,dba_name,holding_company_name,holding_company_final,State,technology_code,Consumer,max_advertised_downstream_speed_mbps,max_advertised_upstream_speed_mbps,zip_code,connection_type,hso_provider,Price
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,17804,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,20147,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,21525,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,22033,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,23587,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,23678,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24093,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24124,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24134,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24136,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24142,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24147,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24150,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24588,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24603,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24614,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24674,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24686,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24701,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24712,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24715,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24731,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24733,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24736,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24737,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24739,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24740,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24747,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24789,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24790,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24827,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24901,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24902,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24910,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24916,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24925,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24931,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24938,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24951,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24957,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24963,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24970,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24977,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24981,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24983,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,24986,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25000,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25002,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25003,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25004,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25007,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25008,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25009,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25015,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25018,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25019,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25022,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25024,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25025,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25026,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25029,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25030,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25031,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25035,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25036,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25039,,altice_suddenlink,
Suddenlink Communications,Suddenlink Communications,Altice,Altice,,,1,,,25040,,altice_suddenlink,
