provider_name,dba_name,holding_company_name,holding_company_final,State,technology_code,Consumer,max_advertised_downstream_speed_mbps,max_advertised_upstream_speed_mbps,zip_code,connection_type,hso_provider,Price
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,98557,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,97217,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,96816,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,96814,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,96744,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,96734,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,96104,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,94611,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,93012,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,92660,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,92656,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,92649,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,92374,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,91784,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,91311,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,91171,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,90802,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,90755,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,90701,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,88001,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,87544,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,87501,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,87112,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,87106,,verizon,
Cellco Partnership,Verizon Wireless,Verizon Communications Inc.,Verizon Communications Inc.,,,1,,,84098,,verizon,
