provider_name,dba_name,holding_company_name,holding_company_final,State,technology_code,Consumer,max_advertised_downstream_speed_mbps,max_advertised_upstream_speed_mbps,zip_code,connection_type,hso_provider,Price
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1001,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1002,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1009,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1011,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1027,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1030,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1031,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1033,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1034,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1037,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1038,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1039,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1040,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1050,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1053,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1057,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1060,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1062,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1066,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1069,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1071,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1075,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1077,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1079,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1080,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1082,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1083,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1085,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1088,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1089,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1092,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1093,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1096,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1098,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1103,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1104,,xfinity,29.99
"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,Comcast Corporation,,,1,1200,35,1105,,xfinity,29.99
