provider_name,dba_name,holding_company_name,holding_company_final,State,technology_code,Consumer,max_advertised_downstream_speed_mbps,max_advertised_upstream_speed_mbps,zip_code,connection_type,hso_provider,Price
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,1504,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,1521,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,1529,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2801,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2802,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2804,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2806,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2808,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2809,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2812,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2813,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2814,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2815,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2816,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2817,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2818,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2822,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2823,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2824,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2825,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2826,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2827,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2828,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2829,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2830,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2831,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2832,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2833,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2835,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2836,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2837,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2838,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2839,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2840,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2841,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2842,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2852,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2857,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2858,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2859,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2860,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2861,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2863,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2864,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2865,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2871,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2872,,cox,
Cox Communications,Cox Communications,"Cox Communications, Inc.","Cox Communications, Inc.",,,1,,,2873,,cox,
