provider_name,dba_name,holding_company_name,holding_company_final,State,technology_code,Consumer,max_advertised_downstream_speed_mbps,max_advertised_upstream_speed_mbps,zip_code,connection_type,hso_provider,Price
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6001,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6002,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6010,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6013,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6016,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6018,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6019,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6021,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6023,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6024,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6025,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6026,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6027,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6029,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6031,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6032,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6033,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6035,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6037,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6039,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6040,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6042,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6043,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6050,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6051,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6052,DSL,frontier,49.99
